survey_name,timestamp,dataset,selector_kind,n_segments,n_ok,n_fail,duration_total_min,wall_total_s,ply_mb_merged,n_gaussians_merged,n_keyframes_total,n_mapped_total,n_dataset_frames_total,psnr_min,psnr_max,psnr_mean,ssim_min,ssim_max,ssim_mean,lpips_min,lpips_max,lpips_mean,ate_rmse_m_min,ate_rmse_m_max,ate_rmse_m_mean,psnr_ho_min,psnr_ho_max,psnr_ho_mean,ssim_ho_min,ssim_ho_max,ssim_ho_mean,lpips_ho_min,lpips_ho_max,lpips_ho_mean,peak_vram_mib_min,peak_vram_mib_max,peak_vram_mib_mean,peak_ram_gb_min,peak_ram_gb_max,peak_ram_gb_mean,duration_min_min,duration_min_max,duration_min_mean,psnr_wmean,ate_rmse_m_wmean
exp_interval1_survey,1780611065,interval1,none,16,7,9,274.72,16143.5,5271.79,21605709,5424.0,5424.0,8000.0,17.4771,25.2315,22.3966,0.4558,0.7994,0.6858,0.1639,0.6405,0.3041,7.2829,22.2419,11.1321,,,,,,,,,,5039.0,9862.0,8270.4375,1.99,2.75,2.3806,3.04,26.08,17.17,23.0284,11.1321
survey_tuned_test,1781110018,interval1,two_gate_v2,1,1,0,1.88,107.3,,,243.0,26.0,500.0,17.7712,17.7712,17.7712,0.5997,0.5997,0.5997,0.4161,0.4161,0.4161,5.7537,5.7537,5.7537,8.805,8.805,8.805,0.0626,0.0626,0.0626,0.7219,0.7219,0.7219,1868.0,1868.0,1868.0,2.42,2.42,2.42,1.88,1.88,1.88,17.7712,5.7537
survey_tuned_test2,1781110228,interval1,two_gate_v2,1,1,0,2.21,126.9,,,243.0,41.0,500.0,19.328,19.328,19.328,0.6359,0.6359,0.6359,0.3739,0.3739,0.3739,5.7543,5.7543,5.7543,9.5876,9.5876,9.5876,0.0805,0.0805,0.0805,0.6954,0.6954,0.6954,1958.0,1958.0,1958.0,2.47,2.47,2.47,2.21,2.21,2.21,19.328,5.7543
exp_agz_survey_smoke,1781633138,interval1,none,1,0,1,1.22,55.6,,,30.0,30.0,150.0,13.7378,13.7378,13.7378,0.304,0.304,0.304,0.8007,0.8007,0.8007,,,,,,,,,,,,,9784.0,9784.0,9784.0,1.92,1.92,1.92,1.22,1.22,1.22,13.7378,
