timestamp_start,timestamp_end,dataset,group,variant,config_path,save_dir,out_dir,status,exit_code,duration_min,peak_ram_gb,peak_vram_mib,n_keyframes,n_mapped,n_processed,n_dataset_frames,mapper_kf_skip,frame_skip,filter_thresh,selector_kind,ply_mb_final,ply_count,last_ply_kf,psnr,ssim,lpips,n_metric_frames,ate_rmse_m,ate_mean_m,n_ate_pairs,n_tracked,psnr_ho,ssim_ho,lpips_ho,n_eval_ho,wall_total_s,track_total_mean_ms,track_total_p95_ms,track_motion_filter_mean_ms,track_frontend_ba_mean_ms,map_total_mean_ms,map_total_p95_ms,map_train_loop_mean_ms,frame_select_mean_ms,log_path,crash_reason
1781938185,1781938276,HKairport03,baseline,vings_filter,configs/local/HKairport03/s2800_500f/baseline/HKairport03_s2800_500f_vings_filter.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f/06-20-14-49-generic_vo-HKairport03_s2800_500f_vings_filter-,OK,0,1.52,2.11,4801,465,465,500,500,1,1,2.4,none,417.77,1,499,14.3356,0.3376,0.6105,34,7.585776054072713,6.878367829070804,59,59,13.1612,0.1721,0.5133,50,81.5,27.92,202.37,6.24,21.63,88.89,785.52,694.77,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f/06-20-14-49-generic_vo-HKairport03_s2800_500f_vings_filter-/run_20260620_084946.log,
1781938293,1781938340,HKairport03,mapskip,mapskip_20,configs/local/HKairport03/s2800_500f/mapskip/HKairport03_s2800_500f_mapskip_20.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f/06-20-14-51-generic_vo-HKairport03_s2800_500f_mapskip_20-,OK,0,0.78,2.1,1991,465,24,500,500,20,1,2.4,none,168.75,1,499,14.9086,0.3432,0.6215,18,7.586300325667298,6.878725267019216,59,59,12.8193,0.1764,0.5243,50,38.4,27.84,204.46,6.06,21.74,568.97,733.66,564.52,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f/06-20-14-51-generic_vo-HKairport03_s2800_500f_mapskip_20-/run_20260620_085133.log,
1781938356,1781938413,HKairport03,mapskip,mapskip_10,configs/local/HKairport03/s2800_500f/mapskip/HKairport03_s2800_500f_mapskip_10.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f/06-20-14-52-generic_vo-HKairport03_s2800_500f_mapskip_10-,OK,0,0.95,2.11,2291,465,47,500,500,10,1,2.4,none,246.64,1,499,15.0371,0.3562,0.6066,29,7.5852741594803845,6.877689295472458,59,59,13.2409,0.1811,0.5146,50,48.3,27.7,202.24,6.11,21.55,488.95,762.65,603.46,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f/06-20-14-52-generic_vo-HKairport03_s2800_500f_mapskip_10-/run_20260620_085236.log,
1781938429,1781938501,HKairport03,mapskip,mapskip_5,configs/local/HKairport03/s2800_500f/mapskip/HKairport03_s2800_500f_mapskip_5.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f/06-20-14-53-generic_vo-HKairport03_s2800_500f_mapskip_5-,OK,0,1.2,2.11,5635,465,93,500,500,5,1,2.4,none,313.61,1,499,14.0233,0.3494,0.5877,36,7.582739251542541,6.875101917440127,59,59,13.2814,0.1792,0.4974,50,62.7,27.76,203.38,6.12,21.59,396.59,943.97,714.26,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f/06-20-14-53-generic_vo-HKairport03_s2800_500f_mapskip_5-/run_20260620_085350.log,
1781938517,1781938592,HKairport03,mapskip,mapskip_3,configs/local/HKairport03/s2800_500f/mapskip/HKairport03_s2800_500f_mapskip_3.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f/06-20-14-55-generic_vo-HKairport03_s2800_500f_mapskip_3-,OK,0,1.25,2.11,4521,465,155,500,500,3,1,2.4,none,391.17,1,499,14.179,0.322,0.6217,34,7.588158464136689,6.88068665465056,59,59,13.1866,0.1756,0.5129,50,65.1,27.73,202.45,6.11,21.57,246.67,816.6,665.9,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f/06-20-14-55-generic_vo-HKairport03_s2800_500f_mapskip_3-/run_20260620_085517.log,
1781938608,1781938686,HKairport03,mapskip,mapskip_2,configs/local/HKairport03/s2800_500f/mapskip/HKairport03_s2800_500f_mapskip_2.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f/06-20-14-56-generic_vo-HKairport03_s2800_500f_mapskip_2-,OK,0,1.3,2.1,4391,465,233,500,500,2,1,2.4,none,413.11,1,499,14.0122,0.3198,0.6212,37,7.585688479861647,6.878148727189944,59,59,13.1865,0.1721,0.5142,50,68.4,27.91,203.32,6.2,21.65,175.74,850.67,688.55,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f/06-20-14-56-generic_vo-HKairport03_s2800_500f_mapskip_2-/run_20260620_085648.log,
1781938702,1781938787,HKairport03,mapskip,mapskip_1,configs/local/HKairport03/s2800_500f/mapskip/HKairport03_s2800_500f_mapskip_1.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f/06-20-14-58-generic_vo-HKairport03_s2800_500f_mapskip_1-,OK,0,1.42,2.1,4781,465,465,500,500,1,1,2.4,none,416.86,1,499,14.0037,0.3099,0.6258,37,7.58618261080797,6.878759871776632,59,59,13.1356,0.1726,0.5129,50,75.6,27.7,203.23,6.03,21.62,88.99,794.96,695.26,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f/06-20-14-58-generic_vo-HKairport03_s2800_500f_mapskip_1-/run_20260620_085822.log,
1781938804,1781938829,HKairport03,skip_no_filter,nofilter_skip_20,configs/local/HKairport03/s2800_500f/skip_no_filter/HKairport03_s2800_500f_nofilter_skip_20.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f/06-20-15-00-generic_vo-HKairport03_s2800_500f_nofilter_skip_20-,OK,0,0.42,2.11,2121,17,17,25,500,1,20,-1.0,none,80.34,1,499,19.3855,0.6522,0.2945,10,18.454234803192058,15.346105194705865,25,25,13.1008,0.2268,0.4858,50,17.3,192.28,311.87,23.94,168.29,518.24,723.11,623.08,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f/06-20-15-00-generic_vo-HKairport03_s2800_500f_nofilter_skip_20-/run_20260620_090004.log,
1781938845,1781938906,HKairport03,skip_no_filter,nofilter_skip_10,configs/local/HKairport03/s2800_500f/skip_no_filter/HKairport03_s2800_500f_nofilter_skip_10.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f/06-20-15-00-generic_vo-HKairport03_s2800_500f_nofilter_skip_10-,OK,0,1.02,2.1,5285,42,42,50,500,1,10,-1.0,none,186.53,1,499,19.775,0.6332,0.3079,25,18.294535590391135,16.472640181388982,50,50,14.3782,0.2993,0.4674,50,51.7,194.34,257.49,15.16,179.12,885.21,1184.66,882.07,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f/06-20-15-00-generic_vo-HKairport03_s2800_500f_nofilter_skip_10-/run_20260620_090045.log,
1781938922,1781939051,HKairport03,skip_no_filter,nofilter_skip_5,configs/local/HKairport03/s2800_500f/skip_no_filter/HKairport03_s2800_500f_nofilter_skip_5.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f/06-20-15-02-generic_vo-HKairport03_s2800_500f_nofilter_skip_5-,OK,0,2.15,2.11,5561,92,92,100,500,1,5,-1.0,none,568.33,1,499,14.763,0.3577,0.5718,62,9.270661587742591,8.79496029496362,100,100,14.7248,0.2778,0.4577,50,117.6,202.21,236.36,10.81,191.34,977.44,1402.55,966.6,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s2800_500f/06-20-15-02-generic_vo-HKairport03_s2800_500f_nofilter_skip_5-/run_20260620_090203.log,
