selector_name,dataset,group,variant,status,exit_code,duration_min,peak_ram_gb,peak_vram_mib,n_keyframes,n_mapped,n_processed,n_dataset_frames,mapper_kf_skip,frame_skip,filter_thresh,selector_kind,ply_mb_final,ply_count,last_ply_kf,psnr,ssim,lpips,n_metric_frames,ate_rmse_m,ate_mean_m,n_ate_pairs,n_tracked,psnr_ho,ssim_ho,lpips_ho,n_eval_ho,wall_total_s,track_total_mean_ms,track_total_p95_ms,track_motion_filter_mean_ms,track_frontend_ba_mean_ms,map_total_mean_ms,map_total_p95_ms,map_train_loop_mean_ms,frame_select_mean_ms,log_path,crash_reason
vista,amtown03,amtown03_s3100_200f,amtown03_s3100_200f_vista__cov0p05_ang0p12_vox1,OK,0,2.25,2.1,5584,192,72,200,200,1,1,-1.0,vista,247.94,1,199,24.1521,0.8019,0.1747,50,4.4774139759320395,3.8911023879217455,200,200,14.3902,0.389,0.3601,20,124.9,200.74,206.12,8.76,191.93,1089.66,1422.05,1064.0,0.91,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_gridsearch/vista_amtown03_s3100_200f/07-02-03-01-generic_vo-amtown03_s3100_200f_vista__cov0p05_ang0p12_vox1-/run_20260701_210119.log,
vista,amtown03,amtown03_s3100_200f,amtown03_s3100_200f_vista__cov0p12_vox2,OK,0,2.15,2.11,5398,192,68,200,200,1,1,-1.0,vista,235.1,1,199,24.1951,0.8012,0.1728,51,4.478127351893246,3.891625710269031,200,200,14.4636,0.3877,0.3579,20,119.3,201.05,207.12,8.79,192.2,1072.22,1444.89,1047.73,0.93,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_gridsearch/vista_amtown03_s3100_200f/07-02-03-17-generic_vo-amtown03_s3100_200f_vista__cov0p12_vox2-/run_20260701_211657.log,
vista,amtown03,amtown03_s3100_200f,amtown03_s3100_200f_vista__cov0p05_vox2,OK,0,2.15,2.12,5694,192,68,200,200,1,1,-1.0,vista,234.5,1,199,24.336,0.8039,0.1731,54,4.477705579970601,3.8912822545636856,200,200,14.4645,0.3907,0.3584,20,118.9,201.03,206.22,8.74,192.23,1067.37,1388.73,1042.75,0.94,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_gridsearch/vista_amtown03_s3100_200f/07-02-03-10-generic_vo-amtown03_s3100_200f_vista__cov0p05_vox2-/run_20260701_211017.log,
vista,amtown03,amtown03_s3100_200f,amtown03_s3100_200f_vista__cov0p05_ang0p12_vox2,OK,0,2.17,2.12,5136,192,69,200,200,1,1,-1.0,vista,233.72,1,199,24.1701,0.7999,0.1725,51,4.478231730035312,3.8918245521746204,200,200,14.51,0.3896,0.3601,20,119.8,200.88,206.77,8.74,192.09,1064.94,1409.09,1040.12,0.94,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_gridsearch/vista_amtown03_s3100_200f/07-02-03-03-generic_vo-amtown03_s3100_200f_vista__cov0p05_ang0p12_vox2-/run_20260701_210334.log,
vista,amtown03,amtown03_s3100_200f,amtown03_s3100_200f_vista__cov0p2_ang0p12_vox0p5,OK,0,2.27,2.11,5280,192,72,200,200,1,1,-1.0,vista,245.44,1,199,24.0665,0.7988,0.1758,52,4.477586862793407,3.891254427915834,200,200,14.5764,0.3933,0.3596,20,125.5,200.69,207.41,8.8,191.83,1097.73,1495.89,1072.95,0.88,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_gridsearch/vista_amtown03_s3100_200f/07-02-03-52-generic_vo-amtown03_s3100_200f_vista__cov0p2_ang0p12_vox0p5-/run_20260701_215227.log,
vista,amtown03,amtown03_s3100_200f,amtown03_s3100_200f_vista__cov0p2_vox0p5,OK,0,2.3,2.11,5282,192,72,200,200,1,1,-1.0,vista,245.77,1,199,23.9738,0.7988,0.1731,53,4.477479528819725,3.8911261853338504,200,200,14.6151,0.3904,0.3622,20,126.7,200.97,206.64,8.73,192.19,1115.07,1494.24,1089.91,0.89,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_gridsearch/vista_amtown03_s3100_200f/07-02-03-59-generic_vo-amtown03_s3100_200f_vista__cov0p2_vox0p5-/run_20260701_215906.log,
vista,amtown03,amtown03_s3100_200f,amtown03_s3100_200f_vista__cov0p2_ang0p06_vox1,OK,0,2.27,2.11,5302,192,72,200,200,1,1,-1.0,vista,246.29,1,199,23.908,0.7974,0.1744,51,4.478134224785102,3.8916442593410436,200,200,14.6326,0.3906,0.3682,20,126.3,200.74,208.22,8.83,191.85,1108.34,1501.75,1083.36,0.9,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_gridsearch/vista_amtown03_s3100_200f/07-02-03-48-generic_vo-amtown03_s3100_200f_vista__cov0p2_ang0p06_vox1-/run_20260701_214803.log,
vista,amtown03,amtown03_s3100_200f,amtown03_s3100_200f_vista__cov0p1_ang0p12_vox1,OK,0,2.25,2.1,5404,192,72,200,200,1,1,-1.0,vista,249.17,1,199,23.8585,0.7943,0.1781,55,4.476360663878506,3.89016383774872,200,200,14.6451,0.3855,0.363,20,125.4,201.41,207.9,8.72,192.63,1095.72,1449.02,1070.33,0.9,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_gridsearch/vista_amtown03_s3100_200f/07-02-03-41-generic_vo-amtown03_s3100_200f_vista__cov0p1_ang0p12_vox1-/run_20260701_214123.log,
vista,amtown03,amtown03_s3100_200f,amtown03_s3100_200f_vista__cov0p05_ang0p06_vox2,OK,0,2.17,2.11,4960,192,68,200,200,1,1,-1.0,vista,236.51,1,199,24.1327,0.7985,0.1792,44,4.479077293007267,3.8925995383395002,200,200,14.6552,0.3918,0.3635,20,119.5,199.89,205.89,8.69,191.14,1079.19,1441.3,1055.03,0.93,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_gridsearch/vista_amtown03_s3100_200f/07-02-02-56-generic_vo-amtown03_s3100_200f_vista__cov0p05_ang0p06_vox2-/run_20260701_205654.log,
vista,amtown03,amtown03_s3100_200f,amtown03_s3100_200f_vista__cov0p2_vox2,OK,0,2.17,2.11,5489,192,68,200,200,1,1,-1.0,vista,233.07,1,199,24.0864,0.7978,0.176,47,4.478689608625511,3.8922307902195765,200,200,14.7098,0.3945,0.3613,20,119.5,200.69,206.61,8.72,191.92,1075.55,1432.16,1051.58,0.94,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_gridsearch/vista_amtown03_s3100_200f/07-02-04-03-generic_vo-amtown03_s3100_200f_vista__cov0p2_vox2-/run_20260701_220338.log,
